seed,return_pct,cagr_pct,sharpe,max_dd_pct,pct_profitable_missed_to_margin,avg_margin_util_pct,risk_per_trade,margin_cap,block
20,98.25869916886751,134.70690730738104,1.767919525221499,26.42473187372666,63.48773841961853,69.30308083342683,0.005,0.8,validation
21,113.4357122017117,157.3120240615146,2.0426237356861203,22.53479037038711,61.85286103542234,69.16913461152855,0.005,0.8,validation
22,68.53467486558755,91.68489924689311,1.54431348409085,23.781135517600653,66.89373297002726,69.59986273172028,0.005,0.8,validation
23,78.85408189415466,106.42476530903902,1.6428917515912762,21.14098820376798,64.30517711171662,68.97755442870996,0.005,0.8,validation
24,108.30795396175623,149.62873919685288,1.9310013108396515,24.530952402865132,64.64577656675749,68.98052990437057,0.005,0.8,validation
25,124.43217401773849,173.94170392830836,2.0797671202847337,22.38588138774306,62.26158038147139,68.91010302674056,0.005,0.8,validation
26,123.210581266378,172.08419829724625,2.1857169566807073,24.453223879799637,63.079019073569484,68.91824199266657,0.005,0.8,validation
27,101.40492497052405,139.35903532004227,1.8171552380711975,26.52042926110834,63.828337874659404,68.93504158501086,0.005,0.8,validation
28,122.12046338231133,170.42872300529433,2.0890103073199464,18.725421482340856,63.28337874659401,68.73670901002356,0.005,0.8,validation
29,176.5900120837395,255.4574673788535,2.6045022048778748,20.698007149736274,63.28337874659401,68.73477705272697,0.005,0.8,validation
0,128.17049579130065,189.98972175698566,1.9498974080600857,27.300548888435326,69.05167518455423,70.13493282707981,0.005,0.8,holdout
1,94.08557380764455,135.33931012934696,1.6271320153464253,28.638775044845215,68.59738784781374,70.18616527856018,0.005,0.8,holdout
2,187.8363192007014,291.37208884069145,2.447412045891667,25.624715774671795,68.71095968199886,70.67956884313095,0.005,0.8,holdout
3,230.8129788405956,368.37310941509713,2.6534140916201894,17.63898959552737,68.71095968199886,70.67817629489123,0.005,0.8,holdout
4,280.82185125787464,461.6950065136307,2.8864174795729154,13.83990737767187,66.49630891538898,70.06240307899739,0.005,0.8,holdout
5,145.7727327135029,219.1808793511593,2.1451492782787955,27.13621283950357,67.80238500851789,70.32042941075196,0.005,0.8,holdout
