day_idx,day_frac,date,equity,n_overnight,total_uncovered,fee,rate,is_disprop,avg_risk_rub,pct_futures,risk_per_trade,block,risk_rub_bin
462,0.5316455696202531,2024-01-08 00:00:00+00:00,11616.566577596273,7,4198.615398359992,0.0,0.0,False,57.386310530403826,85.71428571428571,0.005,in_sample,<1000
463,0.5327963176064442,2024-01-09 00:00:00+00:00,11512.217647317413,6,4198.615398359992,0.0,0.0,False,57.22559352510896,66.66666666666666,0.005,in_sample,<1000
465,0.5350978135788262,2024-01-11 00:00:00+00:00,12165.62328020506,9,8372.263433615635,40.0,0.0047776805301413755,True,59.1540153980294,55.55555555555556,0.005,in_sample,<1000
466,0.5362485615650172,2024-01-12 00:00:00+00:00,12404.671431377621,10,8141.986047192902,40.0,0.004912806257361584,True,60.20787344199704,50.0,0.005,in_sample,<1000
467,0.5373993095512083,2024-01-13 00:00:00+00:00,12364.671431377621,10,8181.986047192902,40.0,0.004888788586204362,True,60.20787344199704,50.0,0.005,in_sample,<1000
468,0.5385500575373993,2024-01-14 00:00:00+00:00,12324.671431377621,10,8221.986047192902,40.0,0.004865004607208808,True,60.20787344199704,50.0,0.005,in_sample,<1000
471,0.5420023014959724,2024-01-17 00:00:00+00:00,12765.50645680728,8,20121.56533342824,40.0,0.0019879169108949707,True,61.88539792811733,25.0,0.005,in_sample,<1000
472,0.5431530494821634,2024-01-18 00:00:00+00:00,12590.06023965871,7,18703.946467337617,40.0,0.002138586103732243,True,62.026265452224614,28.57142857142857,0.005,in_sample,<1000
473,0.5443037974683544,2024-01-19 00:00:00+00:00,12452.174985375757,7,16645.357951164784,40.0,0.0024030723831445716,True,61.50449654753621,28.57142857142857,0.005,in_sample,<1000
474,0.5454545454545454,2024-01-20 00:00:00+00:00,12348.119602034381,7,18200.45433658456,40.0,0.0021977473342298043,True,61.66048783306494,28.57142857142857,0.005,in_sample,<1000
475,0.5466052934407365,2024-01-21 00:00:00+00:00,12308.119602034381,7,18240.45433658456,40.0,0.0021929278329308223,True,61.66048783306494,28.57142857142857,0.005,in_sample,<1000
476,0.5477560414269275,2024-01-22 00:00:00+00:00,12355.790435878023,8,22725.094795412457,40.0,0.0017601686752072361,True,61.63442218492281,25.0,0.005,in_sample,<1000
